Year;Month;First residence permit to Finland;Decision;Number
2021;12;Work;Positive;1263
2021;12;Work;Negative;191
2021;12;Work;Expired matter;229
2022;1;Family;Positive;877
2022;1;Family;Negative;79
2022;1;Family;Expired matter;22
2022;1;Other;Positive;36
2022;1;Other;Negative;5
2022;1;Other;Expired matter;5
2022;1;Studies;Positive;316
2022;1;Studies;Negative;24
2022;1;Studies;Expired matter;16
2022;1;Work;Positive;1027
2022;1;Work;Negative;152
2022;1;Work;Expired matter;90
2022;2;Family;Positive;1012
2022;2;Family;Negative;87
2022;2;Family;Expired matter;54
2022;2;Other;Positive;28
2022;2;Other;Negative;3
2022;2;Other;Expired matter;2
2022;2;Studies;Positive;198
2022;2;Studies;Negative;41
2022;2;Studies;Expired matter;18
2022;2;Work;Positive;1249
2022;2;Work;Negative;159
2022;2;Work;Expired matter;42
2022;3;Family;Positive;1216
2022;3;Family;Negative;116
2022;3;Family;Expired matter;33
2022;3;Other;Positive;67
2022;3;Other;Negative;40
2022;3;Other;Expired matter;5
2022;3;Studies;Positive;246
2022;3;Studies;Negative;33
2022;3;Studies;Expired matter;6
2022;3;Work;Positive;1663
2022;3;Work;Negative;191
2022;3;Work;Expired matter;39
2022;4;Family;Positive;1069
2022;4;Family;Negative;80
2022;4;Family;Expired matter;28
2022;4;Other;Positive;30
2022;4;Other;Negative;40
2022;4;Other;Expired matter;7
2022;4;Studies;Positive;299
2022;4;Studies;Negative;52
2022;4;Studies;Expired matter;20
2022;4;Work;Positive;1335
2022;4;Work;Negative;134
2022;4;Work;Expired matter;27
2022;5;Family;Positive;1397
2022;5;Family;Negative;101
2022;5;Family;Expired matter;21
2022;5;Other;Positive;71
2022;5;Other;Negative;9
2022;5;Other;Expired matter;6
2022;5;Studies;Positive;713
2022;5;Studies;Negative;27
2022;5;Studies;Expired matter;2
2022;5;Work;Positive;1678
2022;5;Work;Negative;412
2022;5;Work;Expired matter;7
2022;6;Family;Positive;1559
2022;6;Family;Negative;60
2022;6;Family;Expired matter;121
2022;6;Other;Positive;49
2022;6;Other;Negative;4
2022;6;Other;Expired matter;5
2022;6;Studies;Positive;1855
2022;6;Studies;Negative;10
2022;6;Studies;Expired matter;67
2022;6;Work;Positive;1523
2022;6;Work;Negative;276
2022;6;Work;Expired matter;154
2022;7;Family;Positive;1277
2022;7;Family;Negative;87
2022;7;Family;Expired matter;264
2022;7;Other;Positive;25
2022;7;Other;Negative;13
2022;7;Other;Expired matter;5
2022;7;Studies;Positive;1362
2022;7;Studies;Negative;45
2022;7;Studies;Expired matter;120
2022;7;Work;Positive;945
2022;7;Work;Negative;222
2022;7;Work;Expired matter;364
2022;8;Family;Positive;1480
2022;8;Family;Negative;100
2022;8;Family;Expired matter;165
2022;8;Other;Positive;76
2022;8;Other;Negative;1
2022;8;Other;Expired matter;11
2022;8;Studies;Positive;1109
2022;8;Studies;Negative;28
2022;8;Studies;Expired matter;99
2022;8;Work;Positive;1311
2022;8;Work;Negative;226
2022;8;Work;Expired matter;189
2022;9;Family;Positive;1447
2022;9;Family;Negative;89
2022;9;Family;Expired matter;26
2022;9;Other;Positive;55
2022;9;Other;Negative;25
2022;9;Other;Expired matter;4
2022;9;Studies;Positive;587
2022;9;Studies;Negative;32
2022;9;Studies;Expired matter;6
2022;9;Work;Positive;1383
2022;9;Work;Negative;214
2022;9;Work;Expired matter;30
2022;10;Family;Positive;1254
2022;10;Family;Negative;131
2022;10;Family;Dismissed;2
2022;10;Family;Expired matter;18
2022;10;Other;Positive;56
2022;10;Other;Negative;28
2022;10;Other;Expired matter;5
2022;10;Studies;Positive;375
2022;10;Studies;Negative;51
2022;10;Studies;Expired matter;9
2022;10;Work;Positive;1309
2022;10;Work;Negative;255
2022;10;Work;Expired matter;20
2022;11;Family;Positive;1479
2022;11;Family;Negative;163
2022;11;Family;Expired matter;18
2022;11;Other;Positive;44
2022;11;Other;Negative;17
2022;11;Other;Expired matter;4
2022;11;Studies;Positive;628
2022;11;Studies;Negative;51
2022;11;Studies;Expired matter;8
2022;11;Work;Positive;1522
2022;11;Work;Negative;325
2022;11;Work;Expired matter;14
2022;12;Family;Positive;1390
2022;12;Family;Negative;143
2022;12;Family;Expired matter;11
2022;12;Other;Positive;30
2022;12;Other;Negative;9
2022;12;Other;Expired matter;5
2022;12;Studies;Positive;695
2022;12;Studies;Negative;46
2022;12;Studies;Expired matter;5
2022;12;Work;Positive;1136
2022;12;Work;Negative;311
2022;12;Work;Expired matter;13
